participant,execution_order,kata_id,treatment,trial_id
P01,1,kata-01,with_ai,P01-K01-AI
P01,2,kata-02,manual,P01-K02-MANUAL
P01,3,kata-03,with_ai,P01-K03-AI
P01,4,kata-04,manual,P01-K04-MANUAL
P01,5,kata-05,with_ai,P01-K05-AI
P01,6,kata-06,manual,P01-K06-MANUAL
P02,1,kata-03,manual,P02-K03-MANUAL
P02,2,kata-04,with_ai,P02-K04-AI
P02,3,kata-05,manual,P02-K05-MANUAL
P02,4,kata-06,with_ai,P02-K06-AI
P02,5,kata-01,manual,P02-K01-MANUAL
P02,6,kata-02,with_ai,P02-K02-AI
P03,1,kata-05,with_ai,P03-K05-AI
P03,2,kata-06,with_ai,P03-K06-AI
P03,3,kata-01,manual,P03-K01-MANUAL
P03,4,kata-02,manual,P03-K02-MANUAL
P03,5,kata-03,with_ai,P03-K03-AI
P03,6,kata-04,manual,P03-K04-MANUAL
